CollectionID	sample	Box	PrepDate	BodySize	ColonySize_L	ColonySize_U	ColonySize	Sample_or_Control	Genus	Species	Number_Bees	Country	Area	Preservation	Continent	Region
165	M144	11	8/11/23	6.128	6000	10000	XLarge	True_Sample	Scaptotrigona	postica	5	Brazil	Amazonas, INPA	Ethanol	South_America	Neotropics
165	M145	11	8/11/23	6.128	6000	10000	XLarge	True_Sample	Scaptotrigona	postica	5	Brazil	Amazonas, INPA	Ethanol	South_America	Neotropics
165	M146	11	8/11/23	6.128	6000	10000	XLarge	True_Sample	Scaptotrigona	postica	5	Brazil	Amazonas, INPA	Ethanol	South_America	Neotropics
165	M147	11	8/11/23	6.128	6000	10000	XLarge	True_Sample	Scaptotrigona	postica	5	Brazil	Amazonas, INPA	Ethanol	South_America	Neotropics
172	M102	7	6/11/23	4.14	1200	5000	Large	True_Sample	Trigona	hypogea	5	Brazil	Sao Paulo, Ribeiro Preto	Ethanol	South_America	Neotropics
172	M103	7	6/11/23	4.14	1200	5000	Large	True_Sample	Trigona	hypogea	5	Brazil	Sao Paulo, Ribeiro Preto	Ethanol	South_America	Neotropics
172	M104	7	6/11/23	4.14	1200	5000	Large	True_Sample	Trigona	hypogea	5	Brazil	Sao Paulo, Ribeiro Preto	Ethanol	South_America	Neotropics
172	M105	7	6/11/23	4.14	1200	5000	Large	True_Sample	Trigona	hypogea	5	Brazil	Sao Paulo, Ribeiro Preto	Ethanol	South_America	Neotropics
172	M106	7	6/11/23	4.14	1200	5000	Large	True_Sample	Trigona	hypogea	5	Brazil	Sao Paulo, Ribeiro Preto	Ethanol	South_America	Neotropics
180	M121	8	8/11/23	5.456	2000	10000	XLarge	True_Sample	Trigona	fulviventris	4	Costa Rica	Santa Rosa	Ethanol	N_C_America	Neotropics
181	M119	8	8/11/23	4.992	2000	10000	XLarge	True_Sample	Trigona	fulviventris	3	Costa Rica	Pto. Jimenez	Ethanol	N_C_America	Neotropics
182	M120	8	8/11/23	5.947	2000	10000	XLarge	True_Sample	Trigona	fulviventris	3	Costa Rica	Pitilla	Ethanol	N_C_America	Neotropics
183	M122	8	8/11/23	4.877	2000	10000	XLarge	True_Sample	Trigona	fulviventris	1	Costa Rica	Guanacaste	Ethanol (unique specimen)	N_C_America	Neotropics
184	M110	7	8/11/23	6.686	9000	12000	XLarge	True_Sample	Trigona	silvestriana	5	Costa Rica	Santa Rosa	Ethanol	N_C_America	Neotropics
186	M109	7	8/11/23	7.078	9000	12000	XLarge	True_Sample	Trigona	silvestriana	3	Costa Rica	Guanacaste	Ethanol	N_C_America	Neotropics
188	M108	7	8/11/23	5.904	9000	12000	XLarge	True_Sample	Trigona	silvestriana	4	Costa Rica	Santa Rosa	Ethanol	N_C_America	Neotropics
200	M113	7	8/11/23	7.145	1e+05	2e+05	Enormous	True_Sample	Trigona	amazonensis	5	Peru	Madre de Dios, TPL	Ethanol/Pinned	South_America	Neotropics
200	M114	7	8/11/23	7.145	1e+05	2e+05	Enormous	True_Sample	Trigona	amazonensis	5	Peru	Madre de Dios, TPL	Ethanol/Pinned	South_America	Neotropics
200	M115	7	8/11/23	7.145	1e+05	2e+05	Enormous	True_Sample	Trigona	amazonensis	5	Peru	Madre de Dios, TPL	Ethanol/Pinned	South_America	Neotropics
200	M116	7	8/11/23	7.145	1e+05	2e+05	Enormous	True_Sample	Trigona	amazonensis	5	Peru	Madre de Dios, TPL	Ethanol/Pinned	South_America	Neotropics
200	M117	7	8/11/23	7.145	1e+05	2e+05	Enormous	True_Sample	Trigona	amazonensis	5	Peru	Madre de Dios, TPL	Ethanol/Pinned	South_America	Neotropics
204	M098	7	6/11/23	8.405	NA	3000	Large	True_Sample	Trigona	amalthea	1	Peru	Madre de Dios, Tambopata	Ethanol (unique specimen)	South_America	Neotropics
207	M101	7	6/11/23	7.738	NA	3000	Large	True_Sample	Trigona	amalthea	3	Ecuador	Napo, Yasuni	Ethanol	South_America	Neotropics
207	M100	7	6/11/23	7.738	NA	3000	Large	True_Sample	Trigona	amalthea	3	Ecuador	Napo, Yasuni	Ethanol	South_America	Neotropics
208	M099	7	6/11/23	7.81	NA	3000	Large	True_Sample	Trigona	amalthea	1	Brazil	Amazonas, Palmari	Ethanol	South_America	Neotropics
